Income,Savings,Debt_Status,Investable_Amount,Investment_Term_Months,Risk_Tolerance,Investment_Purpose,Age,Employment_Status,Risk_Capacity_Score,Risk_Tolerance_Score,Final_Risk_Score,Risk_Profile
"Less than 25,000",88314,"10,000 - 25,000",35126,42,3,Buying property,34,Employed,43.8,43.8,43.8,Balanced
"Less than 25,000",47503,"10,000 - 25,000",38112,79,2,Funding education,26,Employed,38.0,20.3,30.9,Conservative
"50,000 - 74,999",187669,"Over 25,000",42744,86,2,Buying property,70,Employed,40.5,28.2,35.6,Conservative
"25,000 - 49,999",84619,"Less than 10,000",13730,88,4,Buying property,33,Employed,40.0,69.9,52.0,Balanced
"75,000 - 99,999",175535,No debt,24928,354,4,Retirement savings,27,Retired,68.0,77.7,71.9,Growth
"Less than 25,000",36233,"10,000 - 25,000",16051,106,3,Buying property,45,Self-employed,32.4,43.2,36.7,Conservative
"50,000 - 74,999",61888,"Less than 10,000",21370,168,4,Retirement savings,50,Employed,44.9,83.8,60.5,Growth
"Less than 25,000",39412,"10,000 - 25,000",26129,61,5,Wealth accumulation,32,Retired,33.6,96.1,58.6,Balanced
"Less than 25,000",22941,"Less than 10,000",9082,207,5,Wealth accumulation,26,Employed,37.5,98.9,62.0,Growth
"Less than 25,000",40620,"Over 25,000",39318,47,4,Funding education,30,Retired,31.4,76.7,49.5,Balanced
"75,000 - 99,999",24759,"Over 25,000",9852,185,4,Wealth accumulation,52,Self-employed,38.9,72.2,52.2,Balanced
"50,000 - 74,999",72091,No debt,44656,100,3,Buying property,53,Self-employed,51.7,50.7,51.3,Balanced
"25,000 - 49,999",96076,No debt,56149,177,4,Wealth accumulation,50,Employed,55.5,77.9,64.4,Growth
"25,000 - 49,999",51416,No debt,7336,109,3,Buying property,49,Employed,42.2,54.8,47.2,Balanced
"75,000 - 99,999",218399,"10,000 - 25,000",47660,345,3,Retirement savings,36,Unemployed,59.9,54.0,57.5,Balanced
"25,000 - 49,999",42988,"Less than 10,000",16253,207,5,Wealth accumulation,29,Employed,41.5,99.1,64.5,Growth
"75,000 - 99,999",152004,"Less than 10,000",21195,295,1,Retirement savings,58,Unemployed,58.2,0.0,34.9,Conservative
"25,000 - 49,999",31616,"Less than 10,000",18666,225,2,Retirement savings,61,Employed,42.8,36.7,40.4,Balanced
"25,000 - 49,999",79343,"Less than 10,000",20790,94,2,Funding education,39,Employed,40.5,29.7,36.2,Conservative
"25,000 - 49,999",55097,No debt,21143,229,1,Retirement savings,68,Employed,50.1,0.0,30.0,Conservative
"25,000 - 49,999",43944,"Less than 10,000",8891,111,2,Retirement savings,60,Employed,35.8,25.5,31.7,Conservative
"50,000 - 74,999",19482,"10,000 - 25,000",7302,86,3,Buying property,39,Student,33.4,48.3,39.4,Conservative
"25,000 - 49,999",43190,"Over 25,000",11398,224,3,Wealth accumulation,67,Employed,31.1,49.3,38.4,Conservative
"Less than 25,000",36381,"Over 25,000",9427,179,3,Retirement savings,47,Employed,28.7,43.9,34.7,Conservative
"75,000 - 99,999",139343,"Over 25,000",99186,140,5,Wealth accumulation,30,Employed,46.7,97.9,67.2,Growth
"25,000 - 49,999",107048,"Less than 10,000",86534,197,3,Wealth accumulation,70,Employed,54.0,59.1,56.0,Balanced
"25,000 - 49,999",135683,"Less than 10,000",78825,354,3,Retirement savings,68,Employed,62.1,52.9,58.4,Balanced
"75,000 - 99,999",171694,"Less than 10,000",85155,100,2,Retirement savings,67,Employed,54.7,12.5,37.9,Conservative
"50,000 - 74,999",53273,"Over 25,000",10484,156,3,Wealth accumulation,69,Retired,32.3,56.1,41.8,Balanced
"Less than 25,000",28076,No debt,6621,143,1,Funding education,45,Employed,40.6,5.4,26.5,Conservative
"100,000 or more",174313,No debt,105243,60,2,Buying property,47,Employed,65.8,23.2,48.8,Balanced
"50,000 - 74,999",91494,No debt,36255,88,2,Buying property,67,Employed,50.5,28.6,41.7,Balanced
"25,000 - 49,999",110717,"Less than 10,000",44157,114,1,Funding education,40,Employed,47.0,0.0,28.2,Conservative
"Less than 25,000",112960,"Less than 10,000",45745,219,3,Retirement savings,39,Unemployed,56.7,47.6,53.1,Balanced
"50,000 - 74,999",219217,No debt,60719,43,2,Funding education,49,Employed,57.7,32.5,47.6,Balanced
"50,000 - 74,999",148925,No debt,60310,77,2,Retirement savings,60,Employed,54.8,23.6,42.3,Balanced
"25,000 - 49,999",63864,No debt,34282,68,3,Buying property,35,Self-employed,46.1,40.7,43.9,Balanced
"75,000 - 99,999",180774,"10,000 - 25,000",9134,131,4,Wealth accumulation,39,Employed,47.1,74.7,58.1,Balanced
"50,000 - 74,999",161935,No debt,80707,56,5,Buying property,28,Employed,55.9,99.6,73.4,Growth
"Less than 25,000",30377,"10,000 - 25,000",17405,40,3,Wealth accumulation,45,Unemployed,29.3,56.0,40.0,Conservative
"25,000 - 49,999",37580,"Less than 10,000",6699,117,2,Funding education,37,Retired,35.0,25.1,31.0,Conservative
"Less than 25,000",22278,"Over 25,000",8017,97,4,Buying property,46,Unemployed,22.3,72.9,42.6,Balanced
"50,000 - 74,999",45525,No debt,9038,59,2,Buying property,43,Employed,43.6,30.2,38.3,Conservative
0 - No income / rely on investment returns,8623,"Over 25,000",3401,186,4,Wealth accumulation,58,Employed,17.1,75.6,40.5,Balanced
"25,000 - 49,999",55576,"Less than 10,000",4045,63,2,Buying property,38,Employed,34.1,21.2,29.0,Conservative
"50,000 - 74,999",42802,"Over 25,000",27070,40,4,Funding education,28,Employed,30.9,80.8,50.9,Balanced
"75,000 - 99,999",62229,"Over 25,000",29036,69,3,Wealth accumulation,70,Retired,36.9,51.0,42.5,Balanced
"25,000 - 49,999",69646,No debt,16275,47,4,Buying property,51,Employed,43.0,75.0,55.8,Balanced
"75,000 - 99,999",100825,No debt,56509,204,3,Retirement savings,53,Retired,61.6,50.9,57.3,Balanced
"Less than 25,000",40534,"Less than 10,000",2543,118,3,Buying property,52,Retired,35.3,44.6,39.0,Conservative
"75,000 - 99,999",182209,"Less than 10,000",77123,106,2,Wealth accumulation,59,Employed,54.9,22.4,41.9,Balanced
"Less than 25,000",50380,No debt,26323,104,4,Buying property,32,Employed,48.1,75.0,58.8,Balanced
"25,000 - 49,999",104820,No debt,62552,127,2,Funding education,40,Self-employed,54.7,24.0,42.4,Balanced
"50,000 - 74,999",73439,"Less than 10,000",23200,160,3,Wealth accumulation,66,Employed,45.2,56.4,49.7,Balanced
"Less than 25,000",73203,No debt,30617,45,3,Buying property,60,Retired,50.9,51.1,51.0,Balanced
"Less than 25,000",39142,No debt,33230,50,2,Funding education,54,Employed,45.9,29.3,39.3,Conservative
"50,000 - 74,999",76771,"Less than 10,000",40930,74,4,Retirement savings,42,Employed,44.1,75.0,56.5,Balanced
"50,000 - 74,999",146531,No debt,40109,60,3,Funding education,26,Self-employed,52.6,55.3,53.6,Balanced
"50,000 - 74,999",45622,"Less than 10,000",10391,76,4,Buying property,37,Unemployed,38.6,77.0,54.0,Balanced
"50,000 - 74,999",194081,"Less than 10,000",106479,184,5,Wealth accumulation,28,Employed,58.3,100.0,75.0,Growth
"25,000 - 49,999",42595,"Less than 10,000",21242,278,3,Retirement savings,50,Retired,45.6,49.9,47.3,Balanced
"Less than 25,000",17783,"Over 25,000",8380,172,4,Retirement savings,49,Employed,25.3,70.2,43.3,Balanced
"25,000 - 49,999",68003,"Less than 10,000",30512,347,3,Retirement savings,54,Retired,51.4,52.5,51.8,Balanced
"Less than 25,000",27076,"Less than 10,000",8317,44,3,Buying property,35,Retired,30.9,49.8,38.5,Conservative
"75,000 - 99,999",253531,No debt,26046,142,4,Retirement savings,31,Employed,63.3,72.5,67.0,Growth
"25,000 - 49,999",39502,"10,000 - 25,000",32606,277,2,Retirement savings,55,Employed,43.4,30.5,38.2,Conservative
"25,000 - 49,999",57399,"10,000 - 25,000",33358,285,2,Retirement savings,68,Retired,43.7,18.7,33.7,Conservative
"25,000 - 49,999",24047,"10,000 - 25,000",5167,37,4,Buying property,34,Employed,25.2,72.9,44.3,Balanced
"100,000 or more",180883,"Less than 10,000",36968,74,1,Retirement savings,63,Retired,56.7,5.1,36.1,Conservative
"Less than 25,000",22167,No debt,5911,55,2,Funding education,37,Employed,35.6,26.6,32.0,Conservative
"25,000 - 49,999",69371,No debt,53751,69,4,Wealth accumulation,55,Student,49.2,74.8,59.5,Balanced
"25,000 - 49,999",39592,No debt,10126,324,5,Retirement savings,31,Retired,50.7,100.0,70.4,Growth
"50,000 - 74,999",25355,"Over 25,000",15098,258,3,Retirement savings,66,Student,38.2,50.9,43.3,Balanced
0 - No income / rely on investment returns,18376,"10,000 - 25,000",2512,193,3,Wealth accumulation,66,Employed,21.5,42.4,29.8,Conservative
"75,000 - 99,999",96139,"Less than 10,000",15608,266,1,Retirement savings,60,Self-employed,54.0,0.0,32.4,Conservative
"100,000 or more",187154,No debt,75374,69,3,Buying property,44,Self-employed,64.7,58.1,62.1,Growth
"25,000 - 49,999",106783,"10,000 - 25,000",13949,243,4,Retirement savings,28,Employed,44.1,71.7,55.1,Balanced
"50,000 - 74,999",183585,No debt,73912,44,5,Wealth accumulation,31,Employed,56.2,98.4,73.1,Growth
"100,000 or more",185578,No debt,111779,110,4,Buying property,25,Employed,68.3,72.3,69.9,Growth
"50,000 - 74,999",81108,"Less than 10,000",41525,71,3,Wealth accumulation,68,Retired,44.1,49.6,46.3,Balanced
"Less than 25,000",16017,"Less than 10,000",10712,318,2,Retirement savings,69,Employed,42.9,22.1,34.6,Conservative
"25,000 - 49,999",54261,"Less than 10,000",24460,78,2,Retirement savings,66,Employed,38.3,27.4,34.0,Conservative
"50,000 - 74,999",78566,"10,000 - 25,000",23552,191,4,Wealth accumulation,37,Self-employed,41.8,76.0,55.5,Balanced
"25,000 - 49,999",44411,No debt,19807,58,5,Wealth accumulation,46,Employed,42.1,100.0,65.3,Growth
"50,000 - 74,999",96830,"Less than 10,000",19008,163,3,Retirement savings,45,Employed,46.1,44.7,45.5,Balanced
"100,000 or more",211104,"Less than 10,000",68187,170,4,Wealth accumulation,46,Unemployed,63.1,73.3,67.2,Growth
"100,000 or more",80013,No debt,33495,263,4,Retirement savings,52,Unemployed,68.5,73.9,70.6,Growth
"25,000 - 49,999",32324,"10,000 - 25,000",14944,37,4,Buying property,33,Employed,28.8,77.3,48.2,Balanced
"Less than 25,000",30499,"10,000 - 25,000",5862,202,3,Retirement savings,50,Employed,32.3,46.0,37.8,Conservative
"100,000 or more",88569,"Less than 10,000",10831,90,4,Buying property,33,Retired,52.7,79.6,63.4,Growth
"75,000 - 99,999",40526,"10,000 - 25,000",7055,50,2,Funding education,39,Employed,36.9,30.9,34.5,Conservative
"Less than 25,000",19866,"10,000 - 25,000",4605,86,3,Funding education,34,Employed,24.9,45.1,33.0,Conservative
"100,000 or more",65055,No debt,5758,169,3,Retirement savings,48,Employed,60.6,47.5,55.4,Balanced
"75,000 - 99,999",168478,"Less than 10,000",102717,67,2,Retirement savings,66,Employed,54.3,22.3,41.5,Balanced
"25,000 - 49,999",114918,No debt,38749,104,4,Wealth accumulation,32,Self-employed,52.5,88.2,66.8,Growth
"25,000 - 49,999",28363,No debt,9741,225,4,Wealth accumulation,48,Employed,45.9,72.9,56.7,Balanced
"25,000 - 49,999",64447,No debt,42445,214,5,Wealth accumulation,40,Self-employed,53.5,100.0,72.1,Growth
"Less than 25,000",50607,"10,000 - 25,000",21906,122,3,Retirement savings,50,Student,37.0,43.7,39.6,Conservative
"25,000 - 49,999",23258,"10,000 - 25,000",7326,127,3,Retirement savings,51,Employed,29.8,45.1,35.9,Conservative
"75,000 - 99,999",99790,No debt,9853,101,2,Buying property,61,Retired,52.7,21.6,40.2,Balanced
0 - No income / rely on investment returns,61083,"10,000 - 25,000",28093,179,5,Wealth accumulation,28,Student,31.2,95.8,57.1,Balanced
"25,000 - 49,999",68812,"Over 25,000",14689,65,3,Retirement savings,48,Employed,27.4,48.7,35.9,Conservative
"25,000 - 49,999",43386,No debt,17780,154,4,Wealth accumulation,43,Employed,45.6,71.5,56.0,Balanced
"25,000 - 49,999",37066,No debt,16889,92,3,Wealth accumulation,60,Self-employed,42.6,45.9,44.0,Balanced
"75,000 - 99,999",33493,"10,000 - 25,000",12221,66,3,Wealth accumulation,63,Self-employed,39.1,55.8,45.8,Balanced
"25,000 - 49,999",62056,No debt,25903,65,4,Retirement savings,34,Retired,44.5,81.1,59.2,Balanced
"25,000 - 49,999",129893,"Less than 10,000",93105,266,3,Retirement savings,49,Employed,59.1,54.7,57.3,Balanced
"50,000 - 74,999",46979,No debt,20678,64,1,Funding education,42,Unemployed,46.4,2.6,28.9,Conservative
"25,000 - 49,999",18634,"Less than 10,000",4442,90,3,Buying property,43,Employed,31.9,50.5,39.3,Conservative
"Less than 25,000",23458,"10,000 - 25,000",12316,348,3,Retirement savings,60,Employed,39.8,47.5,42.9,Balanced
"25,000 - 49,999",76218,"Less than 10,000",36474,135,3,Funding education,34,Self-employed,44.0,45.2,44.5,Balanced
"Less than 25,000",26392,"10,000 - 25,000",10848,90,2,Buying property,57,Employed,28.7,26.8,27.9,Conservative
"Less than 25,000",21695,"Over 25,000",3948,92,4,Buying property,29,Employed,20.2,69.1,39.8,Conservative
"25,000 - 49,999",49520,"10,000 - 25,000",16221,199,3,Retirement savings,59,Employed,36.5,45.0,39.9,Conservative
"25,000 - 49,999",55017,"Less than 10,000",24679,92,1,Funding education,68,Employed,39.0,5.8,25.7,Conservative
"75,000 - 99,999",45988,No debt,3184,67,2,Buying property,58,Employed,47.9,34.5,42.5,Balanced
"25,000 - 49,999",43998,"Less than 10,000",34537,36,3,Buying property,57,Unemployed,38.5,52.0,43.9,Balanced
"25,000 - 49,999",38251,No debt,19231,211,4,Retirement savings,45,Employed,48.2,80.5,61.2,Growth
"50,000 - 74,999",51214,"10,000 - 25,000",24742,67,3,Buying property,41,Retired,36.3,48.8,41.3,Balanced
0 - No income / rely on investment returns,10349,"Less than 10,000",2117,92,2,Funding education,46,Retired,21.6,18.3,20.3,Conservative
"50,000 - 74,999",112967,"Less than 10,000",48666,168,2,Retirement savings,61,Student,49.9,28.1,41.2,Balanced
"Less than 25,000",23692,"Less than 10,000",18753,155,3,Wealth accumulation,39,Employed,39.5,52.8,44.8,Balanced
"100,000 or more",44430,"10,000 - 25,000",25864,208,3,Retirement savings,59,Student,55.3,50.4,53.3,Balanced
"Less than 25,000",37318,"Over 25,000",6305,263,3,Retirement savings,52,Employed,31.5,48.8,38.4,Conservative
"25,000 - 49,999",70485,"Less than 10,000",54019,86,4,Funding education,31,Self-employed,44.0,79.8,58.3,Balanced
"Less than 25,000",21962,"Over 25,000",14549,80,2,Retirement savings,56,Self-employed,24.6,20.1,22.8,Conservative
"100,000 or more",91064,No debt,55697,95,2,Funding education,35,Retired,63.9,21.1,46.8,Balanced
"25,000 - 49,999",35455,"Less than 10,000",14879,214,4,Wealth accumulation,34,Employed,41.2,70.0,52.7,Balanced
"25,000 - 49,999",41242,"10,000 - 25,000",16460,80,4,Retirement savings,33,Retired,31.1,75.4,48.9,Balanced
"Less than 25,000",56869,"Less than 10,000",22640,142,4,Wealth accumulation,38,Employed,44.2,69.6,54.3,Balanced
"50,000 - 74,999",66649,"Over 25,000",10741,29,3,Buying property,37,Retired,27.7,46.6,35.2,Conservative
"Less than 25,000",49756,No debt,25378,132,2,Retirement savings,49,Unemployed,48.9,21.5,37.9,Conservative
"75,000 - 99,999",56722,No debt,13379,135,4,Retirement savings,26,Employed,53.0,73.7,61.3,Growth
"Less than 25,000",26990,"Over 25,000",19025,93,1,Funding education,59,Unemployed,26.9,0.0,16.2,Defensive
"Less than 25,000",52685,No debt,19187,101,4,Buying property,31,Employed,47.0,75.4,58.4,Balanced
0 - No income / rely on investment returns,11503,"Over 25,000",3378,124,3,Retirement savings,45,Employed,14.0,56.2,30.9,Conservative
"25,000 - 49,999",81359,"Over 25,000",44570,349,3,Retirement savings,42,Employed,44.3,50.7,46.8,Balanced
"25,000 - 49,999",35823,No debt,15929,91,5,Wealth accumulation,27,Employed,42.3,100.0,65.4,Growth
"Less than 25,000",27841,"Less than 10,000",8499,318,2,Retirement savings,66,Self-employed,42.5,31.7,38.2,Conservative
"50,000 - 74,999",162642,No debt,8831,205,3,Wealth accumulation,63,Employed,57.7,53.9,56.2,Balanced
"25,000 - 49,999",39444,"Less than 10,000",15561,97,1,Funding education,65,Employed,36.6,0.4,22.1,Conservative
"25,000 - 49,999",52745,No debt,11662,41,1,Funding education,35,Unemployed,40.3,0.1,24.2,Conservative
"25,000 - 49,999",66754,No debt,20593,65,2,Retirement savings,63,Retired,44.1,28.8,38.0,Conservative
"25,000 - 49,999",54930,"Less than 10,000",13751,250,3,Retirement savings,48,Retired,43.6,48.0,45.4,Balanced
"25,000 - 49,999",55719,"Less than 10,000",9774,183,3,Wealth accumulation,70,Student,40.2,40.6,40.3,Balanced
"Less than 25,000",31787,"Over 25,000",16770,317,3,Retirement savings,43,Retired,35.8,52.5,42.5,Balanced
"Less than 25,000",17051,"10,000 - 25,000",12269,125,4,Funding education,28,Employed,30.6,69.3,46.1,Balanced
"75,000 - 99,999",109588,"Less than 10,000",57047,130,2,Funding education,50,Employed,52.7,20.2,39.7,Conservative
"100,000 or more",83526,"Less than 10,000",58680,149,2,Retirement savings,62,Retired,60.7,25.0,46.4,Balanced
"25,000 - 49,999",72290,"10,000 - 25,000",46456,69,2,Retirement savings,66,Employed,37.3,24.5,32.2,Conservative
"Less than 25,000",64934,"Less than 10,000",5032,122,3,Wealth accumulation,56,Self-employed,42.4,42.9,42.6,Balanced
"50,000 - 74,999",28608,"10,000 - 25,000",11841,309,3,Retirement savings,63,Employed,43.8,50.8,46.6,Balanced
"25,000 - 49,999",97486,"Over 25,000",11228,105,3,Wealth accumulation,69,Employed,32.0,54.8,41.1,Balanced
0 - No income / rely on investment returns,14012,"Less than 10,000",9365,186,3,Wealth accumulation,70,Employed,30.8,44.4,36.2,Conservative
"Less than 25,000",30626,"10,000 - 25,000",12709,172,2,Retirement savings,60,Self-employed,33.3,31.4,32.5,Conservative
"50,000 - 74,999",44713,"10,000 - 25,000",40479,89,2,Retirement savings,64,Self-employed,40.9,17.2,31.4,Conservative
"50,000 - 74,999",77533,"Over 25,000",14393,187,2,Retirement savings,61,Self-employed,35.4,35.6,35.5,Conservative
0 - No income / rely on investment returns,17794,"10,000 - 25,000",8224,113,1,Funding education,57,Employed,21.3,0.0,12.8,Defensive
"Less than 25,000",56025,"Less than 10,000",23252,114,2,Retirement savings,60,Employed,43.0,25.7,36.1,Conservative
"Less than 25,000",22570,"Less than 10,000",16969,84,4,Wealth accumulation,27,Student,35.8,65.5,47.7,Balanced
"50,000 - 74,999",161883,No debt,47250,57,4,Buying property,33,Self-employed,53.8,74.7,62.2,Growth
0 - No income / rely on investment returns,23995,"10,000 - 25,000",15193,140,3,Funding education,32,Employed,25.2,51.1,35.6,Conservative
"Less than 25,000",34220,No debt,16188,79,1,Funding education,57,Retired,42.0,0.0,25.2,Conservative
"50,000 - 74,999",64462,"10,000 - 25,000",42366,57,4,Funding education,30,Employed,38.6,72.2,52.1,Balanced
"Less than 25,000",28051,No debt,9375,66,2,Wealth accumulation,65,Employed,38.4,20.3,31.1,Conservative
"50,000 - 74,999",62539,No debt,31091,164,2,Retirement savings,63,Employed,52.3,30.7,43.7,Balanced
"Less than 25,000",35571,"Less than 10,000",8136,208,4,Retirement savings,28,Retired,39.3,75.2,53.7,Balanced
"Less than 25,000",29454,"10,000 - 25,000",8595,331,3,Retirement savings,37,Self-employed,38.4,57.7,46.1,Balanced
"Less than 25,000",23738,No debt,11349,55,5,Wealth accumulation,26,Employed,38.2,97.4,61.8,Growth
"50,000 - 74,999",76992,"Less than 10,000",55832,66,4,Buying property,29,Student,45.7,72.8,56.6,Balanced
"75,000 - 99,999",60608,No debt,42558,207,3,Wealth accumulation,68,Employed,60.9,54.1,58.2,Balanced
"75,000 - 99,999",108182,No debt,54038,106,3,Retirement savings,51,Employed,57.4,41.9,51.2,Balanced
"25,000 - 49,999",43871,No debt,8857,173,3,Retirement savings,56,Employed,44.4,43.9,44.2,Balanced
"50,000 - 74,999",99967,"10,000 - 25,000",78215,334,3,Retirement savings,45,Employed,54.3,55.5,54.8,Balanced
"Less than 25,000",53617,"Less than 10,000",25409,71,5,Buying property,32,Employed,41.1,94.1,62.3,Growth
"Less than 25,000",53607,No debt,5541,266,2,Retirement savings,62,Self-employed,51.5,15.9,37.3,Conservative
"75,000 - 99,999",107946,"10,000 - 25,000",6952,301,5,Retirement savings,32,Retired,50.1,100.0,70.1,Growth
0 - No income / rely on investment returns,21389,"Over 25,000",10526,68,4,Buying property,27,Employed,15.3,68.0,36.4,Conservative
"Less than 25,000",27825,"10,000 - 25,000",9466,255,2,Retirement savings,68,Employed,35.3,25.9,31.5,Conservative
"Less than 25,000",45886,"Less than 10,000",3306,71,3,Funding education,27,Employed,34.9,50.3,41.1,Balanced
0 - No income / rely on investment returns,25552,"Over 25,000",12653,235,3,Retirement savings,46,Employed,23.0,35.9,28.2,Conservative
"Less than 25,000",14934,"Over 25,000",7633,110,4,Buying property,30,Employed,22.3,73.7,42.9,Balanced
"25,000 - 49,999",59262,"10,000 - 25,000",34926,50,2,Funding education,26,Retired,34.2,27.2,31.4,Conservative
"25,000 - 49,999",97209,"Less than 10,000",31916,169,2,Retirement savings,47,Employed,46.7,26.8,38.7,Conservative
"75,000 - 99,999",77048,"Less than 10,000",19259,231,2,Retirement savings,68,Retired,52.3,29.5,43.2,Balanced
"75,000 - 99,999",69083,"Less than 10,000",30103,230,5,Wealth accumulation,26,Student,53.7,98.1,71.4,Growth
"25,000 - 49,999",39760,No debt,15288,131,3,Wealth accumulation,62,Employed,43.9,53.6,47.8,Balanced
"Less than 25,000",15408,"Less than 10,000",7370,109,1,Funding education,41,Retired,32.1,0.0,19.3,Defensive
"25,000 - 49,999",52237,"10,000 - 25,000",18661,227,3,Retirement savings,59,Self-employed,38.3,42.9,40.2,Balanced
"25,000 - 49,999",49788,"Less than 10,000",43779,137,3,Wealth accumulation,58,Self-employed,44.5,43.5,44.1,Balanced
"Less than 25,000",36084,"Less than 10,000",14354,121,5,Wealth accumulation,47,Employed,37.5,92.7,59.6,Balanced
"50,000 - 74,999",86874,"Less than 10,000",22487,37,3,Buying property,54,Employed,40.6,55.0,46.4,Balanced
"25,000 - 49,999",32911,No debt,9317,226,5,Wealth accumulation,32,Employed,45.9,92.4,64.5,Growth
"25,000 - 49,999",56227,"Less than 10,000",21249,104,3,Buying property,46,Employed,39.0,51.4,43.9,Balanced
"25,000 - 49,999",61215,"10,000 - 25,000",33171,108,2,Buying property,68,Employed,36.4,23.7,31.3,Conservative
"Less than 25,000",25614,No debt,15511,110,1,Retirement savings,60,Self-employed,42.3,0.0,25.4,Conservative
"100,000 or more",148629,No debt,61225,102,3,Buying property,29,Employed,64.6,56.8,61.5,Growth
"50,000 - 74,999",73466,"Over 25,000",49274,330,2,Retirement savings,37,Student,45.9,22.8,36.7,Conservative
"Less than 25,000",23849,No debt,8277,100,4,Wealth accumulation,53,Retired,38.8,78.1,54.5,Balanced
"75,000 - 99,999",106057,No debt,69704,123,4,Wealth accumulation,55,Employed,59.5,75.2,65.8,Growth
"25,000 - 49,999",42412,"Over 25,000",23114,78,3,Buying property,40,Employed,27.7,49.2,36.3,Conservative
"75,000 - 99,999",130466,"Less than 10,000",33037,69,1,Retirement savings,66,Student,48.7,11.5,33.8,Conservative
"50,000 - 74,999",62607,"Less than 10,000",22539,293,3,Retirement savings,54,Retired,50.4,42.8,47.3,Balanced
"25,000 - 49,999",25736,"10,000 - 25,000",11039,77,2,Funding education,40,Retired,29.2,31.4,30.1,Conservative
0 - No income / rely on investment returns,19667,No debt,17408,130,2,Funding education,36,Employed,37.5,28.3,33.8,Conservative
"Less than 25,000",36673,"10,000 - 25,000",20337,34,2,Buying property,41,Employed,30.6,22.6,27.4,Conservative
"25,000 - 49,999",28566,"Less than 10,000",11722,153,3,Wealth accumulation,40,Employed,37.6,58.1,45.8,Balanced
"50,000 - 74,999",102692,"10,000 - 25,000",51490,203,3,Retirement savings,36,Employed,46.3,40.8,44.1,Balanced
"Less than 25,000",46360,"Less than 10,000",11850,260,4,Retirement savings,32,Retired,44.8,72.4,55.8,Balanced
"Less than 25,000",21165,"10,000 - 25,000",15345,101,3,Buying property,44,Retired,30.8,44.0,36.1,Conservative
"75,000 - 99,999",66206,No debt,30128,54,3,Funding education,27,Self-employed,52.4,52.1,52.2,Balanced
"100,000 or more",112212,No debt,52232,194,4,Wealth accumulation,40,Student,67.4,69.4,68.2,Growth
"25,000 - 49,999",33561,"10,000 - 25,000",27604,305,3,Retirement savings,54,Self-employed,43.7,52.2,47.1,Balanced
"Less than 25,000",45039,"10,000 - 25,000",24146,67,2,Retirement savings,69,Employed,34.2,24.1,30.1,Conservative
"Less than 25,000",35227,"10,000 - 25,000",13525,211,3,Retirement savings,47,Employed,35.9,47.6,40.6,Balanced
0 - No income / rely on investment returns,9961,"Less than 10,000",4894,270,4,Retirement savings,52,Unemployed,31.8,76.9,49.9,Balanced
"75,000 - 99,999",61029,"Less than 10,000",21945,217,2,Retirement savings,64,Employed,51.9,23.7,40.6,Balanced
"Less than 25,000",59216,"10,000 - 25,000",28957,93,3,Funding education,29,Unemployed,38.7,44.6,41.1,Balanced
"25,000 - 49,999",105698,"10,000 - 25,000",12524,121,2,Funding education,44,Retired,38.8,39.0,38.9,Conservative
"Less than 25,000",42807,"10,000 - 25,000",8290,114,2,Retirement savings,64,Employed,32.1,22.6,28.3,Conservative
"25,000 - 49,999",44131,"Over 25,000",28914,260,3,Retirement savings,68,Self-employed,36.6,38.9,37.5,Conservative
"50,000 - 74,999",56627,"10,000 - 25,000",20882,181,3,Retirement savings,25,Student,40.3,45.8,42.5,Balanced
"75,000 - 99,999",121199,"Less than 10,000",27393,97,3,Funding education,54,Self-employed,49.0,43.7,46.9,Balanced
"Less than 25,000",33964,"10,000 - 25,000",8942,71,3,Buying property,45,Student,28.5,54.1,38.8,Conservative
0 - No income / rely on investment returns,7694,"Over 25,000",3062,167,4,Wealth accumulation,44,Unemployed,16.2,76.6,40.4,Balanced
"Less than 25,000",54777,"10,000 - 25,000",32405,257,3,Retirement savings,30,Employed,45.3,52.0,48.0,Balanced
"75,000 - 99,999",180455,"10,000 - 25,000",59086,106,3,Retirement savings,46,Employed,48.8,48.1,48.5,Balanced
"75,000 - 99,999",133114,"Less than 10,000",68169,287,3,Retirement savings,42,Unemployed,60.5,48.6,55.7,Balanced
"25,000 - 49,999",28417,"Less than 10,000",1249,110,2,Funding education,32,Self-employed,32.1,23.1,28.5,Conservative
"50,000 - 74,999",51319,No debt,22884,40,1,Funding education,63,Employed,45.8,0.0,27.5,Conservative
"50,000 - 74,999",27871,"Less than 10,000",5064,213,4,Wealth accumulation,56,Employed,42.4,79.2,57.1,Balanced
"Less than 25,000",72629,"Over 25,000",42773,47,2,Buying property,57,Self-employed,36.5,26.7,32.6,Conservative
"75,000 - 99,999",77031,"Less than 10,000",13952,234,3,Retirement savings,40,Unemployed,51.7,52.5,52.0,Balanced
"25,000 - 49,999",157504,"Less than 10,000",81881,53,1,Funding education,36,Retired,51.9,2.5,32.2,Conservative
"25,000 - 49,999",130376,"Over 25,000",30477,119,3,Wealth accumulation,62,Self-employed,38.2,54.4,44.7,Balanced
"25,000 - 49,999",31221,"Less than 10,000",10709,320,2,Retirement savings,58,Employed,44.2,26.4,37.1,Conservative
0 - No income / rely on investment returns,12077,"Less than 10,000",3358,65,2,Funding education,38,Employed,21.5,26.8,23.6,Conservative
"Less than 25,000",41282,"10,000 - 25,000",22939,36,3,Wealth accumulation,60,Student,32.0,55.9,41.6,Balanced
